ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick 51,0.3,"2,685.7","1,036.7",7.0,"7,815.1",4.4,-0.5,0.2,"1,288.6","2,357.2",0.5,0.1,0.1,354.5,107.6,0.2,0.0,0.4,-6.1,0.1,-0.3,15.6,-0.3,0.0,0.0,-0.4,22.8,0.0,0.0
Nick 52,0.3,"2,661.1","1,018.6",14.8,"7,789.7",-5.8,-0.5,0.2,"1,255.8","2,300.9",0.4,0.1,0.1,72.0,43.3,0.1,0.0,0.2,-4.8,0.1,-0.3,15.2,-0.3,0.0,0.0,0.3,20.6,0.2,0.0
Nick 53,0.3,"2,641.0","1,025.2",24.9,"7,614.6",72.4,-0.5,0.2,"1,278.4","2,359.3",1.2,0.2,0.5,"1,021.3",101.5,0.2,0.3,1.0,85.8,0.1,-0.5,15.3,-0.3,0.0,0.0,0.1,22.5,0.9,0.0
Nick 54,0.3,"2,640.9","1,006.1",13.0,"7,703.3",-6.1,-0.6,0.2,"1,243.8","2,297.1",0.4,0.1,0.1,66.1,38.1,0.1,0.0,0.1,-4.2,0.1,-0.5,15.2,-0.4,0.0,0.0,-0.2,20.2,0.1,0.0
Nick 55,0.3,"2,687.8","1,093.4",19.6,"7,986.8",14.3,-0.7,0.2,"1,272.9","2,739.0",0.7,0.2,0.1,"2,134.8","1,398.5",3.0,0.0,0.5,-4.3,0.1,-0.4,18.4,-0.3,0.0,0.0,-0.2,55.4,0.2,0.0
Nick 56,0.3,"2,667.6","1,069.8",15.2,"7,878.3",-5.4,-0.8,0.2,"1,261.4","2,680.8",0.5,0.1,0.1,"1,060.3","1,169.7",2.5,0.0,0.0,-3.6,0.1,-0.4,17.9,-0.3,0.0,0.0,-0.3,48.4,0.2,0.0
Nick 57,0.2,"2,692.5","1,198.2",15.2,"7,893.8",16.2,-0.8,0.2,"1,257.7","3,251.8",0.5,0.1,0.1,"3,892.7","1,569.5",3.7,0.1,0.2,-4.2,0.1,-0.5,22.0,-0.3,0.0,0.0,-0.3,65.3,0.2,0.0
Nick 58,0.2,"2,674.3","1,185.2",9.7,"7,665.9",-7.3,-0.8,0.2,"1,251.1","3,264.2",0.4,0.0,0.1,1.1,"1,559.8",3.7,0.1,-0.1,-3.9,0.1,-0.5,22.1,-0.3,0.0,0.0,-0.3,64.6,0.2,0.0
Nick 59,0.2,"2,688.4","1,172.5",14.8,"7,877.4",16.7,-0.7,0.2,"1,264.9","3,212.5",0.6,0.1,0.1,"3,768.7","1,517.7",3.6,0.1,0.3,-4.1,0.1,-0.5,21.8,-0.3,0.0,0.0,-0.3,63.3,0.2,0.0
Nick 60,0.2,"2,668.2","1,156.4",13.5,"7,613.2",-7.1,-0.8,0.2,"1,246.7","3,121.8",0.4,0.0,0.1,53.0,"1,418.0",3.3,0.1,-0.1,-3.9,0.1,-0.7,21.1,-0.3,0.0,0.0,-0.4,59.2,0.2,0.0
Nick 61,0.2,"2,654.2","1,183.3",19.4,"7,817.8",65.5,-0.7,0.2,"1,257.5","3,268.8",0.9,0.2,0.8,"5,169.8","1,533.3",3.7,0.9,5.3,81.6,0.2,-0.5,21.8,-0.3,0.0,0.0,-0.3,64.2,0.7,0.0
Nick 62,0.2,"2,682.0","1,168.8",10.4,"7,702.9",-7.6,-0.8,0.2,"1,250.3","3,201.7",0.4,0.0,0.0,4.9,"1,473.5",3.5,0.1,-0.1,-4.1,0.1,-0.6,21.8,-0.3,0.0,0.0,0.2,62.2,0.2,0.0
Nick 63,0.3,"2,710.4","1,048.9",19.5,"7,869.9",12.1,-0.4,0.2,"1,306.6","2,410.5",0.5,0.1,0.1,426.8,161.1,0.3,0.1,0.5,-1.4,0.1,-0.2,15.6,-0.3,0.0,0.0,-0.1,24.1,0.2,0.0
Nick 64,0.3,"2,658.3","1,015.5",17.9,"7,686.0",-5.6,-0.6,0.2,"1,241.8","2,296.8",0.4,0.1,0.1,50.1,82.5,0.1,0.0,0.1,-4.3,0.1,-0.4,15.3,-0.4,0.0,0.0,-0.2,21.4,0.2,0.0
Nick 65,0.3,"2,675.8","1,036.7",16.3,"7,744.5",9.5,-0.5,0.2,"1,277.0","2,347.0",0.5,0.1,0.1,409.9,155.5,0.3,0.0,0.4,-4.9,0.1,-0.5,15.5,-0.3,0.0,0.0,-0.3,23.7,0.2,0.0
Nick 66,0.3,"2,681.5","1,018.6",18.5,"7,799.4",-4.8,-0.5,0.2,"1,256.8","2,329.0",0.5,0.1,0.1,69.8,85.0,0.1,0.0,0.2,-4.1,0.1,-0.4,15.4,-0.4,0.0,0.0,-0.3,21.4,0.2,0.0
Nick 67,0.3,"2,800.0","1,076.2",21.4,"8,119.4",11.9,-0.3,0.2,"1,348.5","2,467.3",0.6,0.1,0.1,428.1,161.2,0.3,0.0,0.5,-3.4,0.1,-0.1,16.2,-0.3,0.0,0.0,-0.3,25.0,0.2,0.0
Nick 67,0.3,"2,670.8","1,025.5",22.6,"7,823.6",12.0,-0.5,0.2,"1,293.4","2,386.2",0.8,0.1,0.1,414.4,155.9,0.3,0.0,0.5,-3.6,0.1,-0.3,15.7,-0.3,0.0,0.0,-0.3,23.9,0.2,0.0
Nick 68,0.3,"2,664.0","1,022.8",18.6,"7,782.7",-4.4,-0.6,0.2,"1,255.2","2,328.4",0.5,0.1,0.1,72.5,82.9,0.1,0.0,0.2,-4.2,0.1,-0.3,15.3,-0.4,0.0,0.0,-0.4,21.5,0.2,0.0
Nick 69,0.2,"2,687.3","1,178.0",18.9,"8,041.0",15.8,-0.8,0.2,"1,283.1","3,225.0",0.7,0.2,0.1,"4,262.3","1,891.9",4.3,0.1,0.3,-3.9,0.2,-0.5,21.9,-0.3,0.0,0.0,-0.4,73.4,0.2,0.0
Nick 70,0.3,"2,671.3","1,156.3",15.1,"7,891.7",-5.4,-0.8,0.2,"1,262.1","3,140.5",0.4,0.1,0.1,"1,774.1","1,803.4",4.1,0.1,-0.2,-2.8,0.1,-0.5,21.2,-0.3,0.0,0.0,-0.4,69.8,0.3,0.0
Nick 71,0.3,"2,679.7","1,120.6",23.3,"7,818.1",15.3,-0.7,0.2,"1,270.6","2,884.4",0.7,0.1,0.2,"2,469.6","1,027.9",2.4,0.1,0.6,-0.1,0.1,-0.7,19.3,-0.3,0.0,0.0,-0.4,48.7,0.3,0.0
Nick 72,0.3,"2,726.9","1,123.5",20.3,"7,826.1",-6.1,-0.7,0.2,"1,266.3","2,896.3",0.5,0.1,0.1,299.3,"1,041.2",2.4,0.0,0.0,-3.1,0.1,-0.5,19.4,-0.3,0.0,0.0,0.3,49.0,0.2,0.0
Nick 73,0.2,"2,713.4","1,204.5",16.9,"7,989.5",15.6,-0.8,0.2,"1,267.1","3,282.5",0.5,0.1,0.1,"3,962.2","1,576.7",3.7,0.1,0.2,-4.3,0.1,-0.5,22.0,-0.3,0.0,0.0,-0.1,66.0,0.2,0.0
Nick 74,0.2,"2,686.3","1,185.6",16.0,"7,740.7",-6.8,-0.9,0.2,"1,259.7","3,240.1",0.4,0.0,0.1,9.2,"1,520.3",3.6,0.1,-0.1,-3.6,0.1,-0.6,21.8,-0.3,0.0,0.0,-0.2,63.2,0.2,0.0
Nick 75,0.2,"2,735.8","1,204.5",18.3,"8,006.0",17.4,-0.7,0.2,"1,297.9","3,338.3",0.5,0.1,0.1,"4,027.2","1,598.2",3.8,0.2,0.4,-3.3,0.1,-0.4,22.4,-0.3,0.0,0.0,-0.2,66.8,0.2,0.0
Nick 76,0.2,"2,701.9","1,195.5",18.2,"7,750.1",-6.4,-0.8,0.2,"1,267.1","3,300.5",0.4,0.0,0.1,-1.1,"1,581.3",3.7,0.1,-0.1,-3.3,0.1,-0.6,22.1,-0.3,0.0,0.0,-0.3,64.7,0.2,0.0
Nick 77,0.3,"2,980.5","1,054.5",18.8,"7,848.2",15.0,-0.4,0.5,"1,580.5","2,458.3",0.6,0.1,0.1,500.6,215.6,0.4,1.4,1.4,3.9,0.1,-0.5,15.9,-0.3,0.0,0.0,-0.3,25.6,0.3,0.0
Nick 78,0.3,"2,705.0","1,037.4",10.6,"7,795.1",-5.8,-0.5,0.2,"1,263.2","2,360.7",0.4,0.1,0.1,29.2,129.7,0.2,0.0,0.1,-4.5,0.1,-0.4,15.7,-0.4,0.0,0.0,-0.4,22.8,0.2,0.0
Nick 79,0.3,"2,702.3","1,042.5",14.5,"7,872.6",10.8,-0.5,0.2,"1,298.8","2,397.0",0.5,0.1,0.1,482.7,207.8,0.4,0.0,0.6,-4.7,0.1,-0.5,15.7,-0.3,0.0,0.0,-0.4,25.2,0.2,0.0
Nick 80,0.3,"2,670.1","1,024.0",16.1,"7,787.7",-5.8,-0.6,0.2,"1,250.3","2,339.3",0.3,0.1,0.1,60.6,129.7,0.2,0.0,0.1,-4.3,0.1,-0.6,15.4,-0.4,0.0,0.0,-0.4,22.6,0.2,0.0
Nick 81,0.3,"2,684.4","1,037.6",19.3,"7,715.6",10.3,-0.6,0.1,"1,281.2","2,386.4",0.5,0.1,0.1,547.7,227.9,0.4,0.0,0.4,-4.8,0.1,-0.4,15.7,-0.3,0.0,0.0,-0.4,25.7,0.2,0.0
Nick 82,0.3,"2,671.2","1,024.6",14.3,"7,791.1",-5.9,-0.6,0.1,"1,247.6","2,341.1",0.4,0.1,0.1,82.3,168.7,0.3,0.0,0.1,-4.2,0.1,-0.6,15.6,-0.4,0.0,0.0,-0.4,23.6,0.2,0.0
Nick 83,0.3,"2,732.9","1,161.0",22.4,"8,133.6",14.8,-0.6,0.2,"1,294.4","3,086.2",0.8,0.2,0.1,"3,576.7","1,551.2",3.5,0.1,0.4,-1.8,0.2,-0.5,20.7,-0.3,0.0,0.0,0.4,64.1,0.2,0.0
Nick 84,0.3,"2,686.8","1,091.2",13.4,"7,810.2",-6.8,-0.8,0.1,"1,239.7","2,722.4",0.4,0.1,0.0,"1,300.5","1,007.2",2.2,0.0,-0.1,-3.9,0.1,-0.7,18.4,-0.3,0.0,0.0,0.0,47.1,0.1,0.0
Nick 85,0.3,"2,673.5","1,114.8",34.3,"7,841.2",23.1,-0.7,0.1,"1,255.2","2,846.9",1.4,0.1,0.1,"2,390.4",959.5,2.2,0.1,0.8,-2.8,0.1,-0.6,19.3,-0.3,0.0,0.0,-0.1,47.6,0.2,0.0
Nick 86,0.3,"2,679.7","1,104.9",17.2,"7,734.1",-6.7,-0.7,0.2,"1,257.0","2,820.7",0.4,0.0,0.1,126.3,863.1,2.0,0.0,-0.1,-2.9,0.1,-0.7,18.7,-0.3,0.0,0.0,-0.2,43.8,0.2,0.0
Nick 87,0.2,"2,732.8","1,212.8",19.4,"8,028.2",16.7,-0.8,0.2,"1,282.6","3,324.3",0.6,0.1,0.1,"4,044.9","1,606.9",3.8,0.1,0.3,-4.1,0.1,-0.5,22.3,-0.3,0.0,0.0,-0.3,66.5,0.2,0.0
Nick 88,0.2,"2,699.1","1,200.0",13.0,"7,758.4",-7.7,-0.8,0.2,"1,258.2","3,295.0",0.4,0.0,0.0,-4.1,"1,582.4",3.7,0.1,-0.1,-3.7,0.1,-0.6,22.3,-0.3,0.0,0.0,-0.3,65.3,0.2,0.0
Nick 89,0.3,"2,720.9","1,197.3",17.5,"7,990.3",14.3,-0.8,0.2,"1,269.1","3,266.6",0.5,0.1,0.0,"3,830.2","1,537.5",3.6,0.1,0.2,-4.5,0.1,-0.6,22.0,-0.3,0.0,0.0,-0.3,64.6,0.2,0.0
Nick 90,0.2,"2,698.6","1,167.4",14.0,"7,794.4",-7.6,-0.8,0.2,"1,270.6","3,167.1",0.4,0.0,0.0,6.2,"1,364.3",3.1,0.1,-0.1,-3.9,0.1,-0.6,21.3,-0.3,0.0,0.0,-0.4,58.5,0.2,0.0
Nick 91,0.3,"2,716.1","1,049.3",16.4,"7,920.8",9.6,-0.6,0.2,"1,302.8","2,437.7",0.5,0.1,0.1,512.6,230.9,0.4,0.0,0.5,-2.9,0.1,-0.5,15.9,-0.3,0.0,0.0,-0.4,26.0,0.1,0.0
Nick 92,0.3,"2,720.8","1,041.1",13.9,"7,900.3",-6.1,-0.6,0.2,"1,272.1","2,378.1",0.4,0.1,0.1,55.4,145.0,0.2,0.0,0.1,0.2,0.1,-0.5,15.7,-0.4,0.0,0.0,-0.4,23.3,0.1,0.0
Nick 93,0.3,"2,865.6","1,110.1",14.6,"8,303.5",11.1,-0.3,0.2,"1,372.1","2,521.2",-5.4,0.1,0.1,521.2,237.7,0.4,0.0,0.5,-4.6,0.1,-0.1,16.7,-0.3,0.0,0.0,-0.4,27.1,0.1,0.0
Nick 93,0.3,"2,880.8","1,112.7",14.8,"8,406.6",11.7,-0.3,0.2,"1,373.2","2,552.4",0.5,0.1,0.1,531.5,240.4,0.4,0.0,0.5,-4.7,0.1,0.0,16.8,-0.3,0.0,0.0,-0.4,27.2,0.1,0.0
Nick 94,0.3,"2,690.7","1,026.0",11.6,"7,837.3",-6.0,-0.7,0.1,"1,254.9","2,348.4",0.4,0.1,0.1,47.9,142.9,0.2,0.0,0.1,-3.1,0.1,-0.5,15.6,-0.3,0.0,0.0,0.2,22.9,0.2,0.0
Nick 95,0.3,"2,658.5","1,019.6",14.1,"7,737.2",8.9,-0.6,0.1,"1,268.4","2,368.4",0.5,0.1,0.1,481.1,216.8,0.4,0.0,0.4,-4.6,0.1,-0.5,15.8,-0.3,0.0,0.0,-0.1,25.3,0.2,0.0
Nick 96,0.3,"2,688.2","1,028.0",17.4,"7,832.2",-5.9,-0.7,0.1,"1,247.7","2,357.8",0.4,0.1,0.1,60.7,135.1,0.2,0.0,0.1,0.5,0.1,-0.5,15.6,-0.4,0.0,0.0,-0.2,22.7,0.2,0.0
Nick 97,0.3,"2,673.3","1,083.0",20.1,"7,862.3",13.5,-0.7,0.2,"1,279.0","2,726.6",0.6,0.1,0.1,"2,041.2","1,097.7",2.4,0.1,0.6,-3.8,0.1,-0.5,18.1,-0.3,0.0,0.0,-0.2,49.4,0.2,0.0
Nick 98,0.3,"2,760.1","1,114.6",13.4,"8,079.9",-7.3,-0.8,0.2,"1,290.2","2,808.7",0.4,0.0,0.0,"1,019.5","1,205.9",2.6,0.0,-0.1,-2.2,0.1,-0.5,18.8,-0.3,0.0,0.0,-0.3,51.3,0.2,0.0
Nick 99,0.2,"2,725.7","1,196.2",15.4,"7,965.6",14.1,-0.8,0.2,"1,276.4","3,261.4",0.5,0.1,0.1,"3,700.3","1,500.9",3.5,0.1,0.3,-4.5,0.1,-0.6,21.8,-0.3,0.0,0.0,-0.3,63.6,0.2,0.0
Nick 100,0.3,"2,725.6","1,212.4",14.6,"7,824.7",-7.8,-0.8,0.2,"1,281.0","3,362.8",0.3,0.0,0.0,6.8,"1,591.8",3.7,0.1,-0.2,4.8,0.1,-0.5,22.6,-0.3,0.0,0.0,-0.4,66.2,0.2,0.0
Nick 101,0.2,"2,752.6","1,192.0",17.8,"8,095.9",15.1,-0.8,0.2,"1,287.7","3,200.2",0.5,0.1,0.1,"3,494.3","1,415.4",3.3,0.1,0.3,-4.2,0.1,-0.4,21.5,-0.3,0.0,0.0,-0.4,60.3,0.2,0.0
Nick 102,0.2,"2,719.4","1,182.0",14.5,"7,881.3",-7.7,-0.9,0.2,"1,269.1","3,195.2",0.3,0.0,0.0,31.6,"1,448.3",3.3,0.1,-0.1,0.4,0.1,-0.7,21.6,-0.3,0.0,0.0,-0.4,61.0,0.2,0.0
Nick 103,0.2,"2,827.0","1,245.0",-2.2,"7,990.8",-8.8,-1.1,0.1,"1,333.0","3,341.1",0.2,0.0,0.1,0.1,38.8,0.0,0.0,-0.2,-8.2,0.1,-0.3,22.3,-0.4,0.0,0.0,-0.5,4.4,-0.2,0.0
Nick 104,0.2,"2,716.0","1,201.8",13.5,"7,894.7",-7.9,-0.8,0.2,"1,281.8","3,306.8",0.4,0.0,0.1,87.1,"1,586.8",3.7,0.1,-0.1,4.0,0.1,-0.6,22.2,-0.3,0.0,0.0,-0.3,64.3,0.2,0.0
