"sample_ID_tntp","Reservoir","Site","Date","Depth_m","TP_ugL","TN_ugL","sample_ID.DOC","TIC_mgL","TC_mgL","TOC_mgL","TNb_mgL","sample_ID.lachatSolubles","NH4_ugL","PO4_ugL","NO3NO2_ugL"
"F50 3FEB23 0.1","FCR",50,"2/3/2023",0.1,24,208,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50 3FEB23 1.6","FCR",50,"2/3/2023",1.6,29.1,258,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50 3FEB23 3.8","FCR",50,"2/3/2023",3.8,27.6,296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50 3FEB23 5","FCR",50,"2/3/2023",5,26.3,267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50 3FEB23 6.2","FCR",50,"2/3/2023",6.2,27,238,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50 3FEB23 8","FCR",50,"2/3/2023",8,27.8,299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50 3FEB23 9","FCR",50,"2/3/2023",9,25.5,261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50 3FEB23 WEIR","FCR",100,"2/3/2023",0.1,47.8,321,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B50 21MAR23 0.1","BVR",50,"3/21/2023",0.1,20.1,368,"B50 21MAR23 0.1",3.230149727,5.262648937,2.03249921,0.292732928,"b50 21mar23 0.1",51.4,5.8,66.3
"B50 21MAR23 3","BVR",50,"3/21/2023",3,19.5,386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B50 21MAR23 6","BVR",50,"3/21/2023",6,16.5,354,"B50 21MAR23 6",2.758244559,5.519696921,2.761452362,0.32,"b50 21mar23 6.0",54.8,3.8,67.1
"B50 21MAR23 9","BVR",50,"3/21/2023",9,19.2,336,"B50 2MAR23 9",2.774169554,5.548384348,2.774214795,0.333755088,"b50 21mar23 9.0",60.9,3.6,66.6
"F50 4APR23 0.1","FCR",50,"4/4/2023",0.1,24.5,238,"F50 04APR23 0.1",3.59,6.4,2.81,0.17,"F50 04APR23 0.1",11.9,4.5,3.4
"F200 4APR23 0.1","FCR",200,"4/4/2023",0.1,70,214,"F200 04APR23 0.1",3.81,6,2.2,0.14,"F200 04APR23 0.1",16.6,9,15.1
"F100 4APR23 0.1","FCR",100,"4/4/2023",0.1,29.5,124,"F100 04APR23 0.1",3.717454622,5.276182235,1.558727613,0.084599712,"F100 04APR23 0.1",5.6,11.5,4.1
"F50 4APR23 1.6","FCR",50,"4/4/2023",1.6,25.1,194,"F50 04APR23 1.6",3.491119076,6.021122221,2.530003145,0.18336907,"F50 04APR23 1.6",11.4,5.1,4
"F50 4APR23 3.8","FCR",50,"4/4/2023",3.8,25.8,210,"F50 04APR23 3.8",3.776726074,6.142540163,2.365814089,0.185462661,"F50 04APR23 3.8",8.6,3.8,1.8
"F50 4APR23 5","FCR",50,"4/4/2023",5,27.3,229,"F50 04APR23 5.0",3.500585436,6.142074128,2.641488692,0.176273316,"F50 04APR23 5.0",6.9,9,2.1
"F50 4APR23 6.2","FCR",50,"4/4/2023",6.2,28.6,240,"F50 04APR23 6.2",3.607182155,6.160715504,2.553533349,0.204281031,"F50 04APR23 6.2",6.1,5.4,4.2
"F50 4APR23 8","FCR",50,"4/4/2023",8,28.9,249,"F50 04APR23 8.0",3.59,6.12,2.53,0.17,"F50 04APR23 8.0",6.4,4.8,-1.4
"F50 4APR23 9","FCR",50,"4/4/2023",9,25.9,263,"F50 04APR23 9.0",3.398281345,5.865635613,2.467354267,0.153751916,"F50 04APR23 9.0",4.4,4,1.3
"B50 12APR23 0.1","BVR",50,"4/12/2023",0.1,18.7,220,"B50 12APR23 0.1",2.6,5.85,3.25,0.2,"B50 12APR23 0.1",7.9,5.7,2.1
"B50 12APR23 3","BVR",50,"4/12/2023",3,17.6,218,"B50 12APR23 3.0",2.516403661,5.822840572,3.306436911,0.215536879,"B50 12APR23 3.0",8.4,4.1,4.7
"B50 12APR23 6","BVR",50,"4/12/2023",6,23.7,321,"B50 12APR23 6.0",2.376173638,5.359154086,2.982980448,0.237630837,"B50 12APR23 6.0",7.7,4.7,20.7
"B50 12APR23 9","BVR",50,"4/12/2023",9,22.5,461,"B50 12APR23 9.0",2.73,5.74,3.01,0.42,"B50 12APR23 9.0",172,3.1,55.6
"F50 18APR23 0.1","FCR",50,"4/18/2023",0.1,25.9,262,"F50 18APR23 0.1",3.767400592,6.200989866,2.433589274,0.165398131,"F50 18APR23 0.1",5.8,4.4,1.8
"F100 18APR23 0.1","FCR",100,"4/18/2023",0.1,40.6,268,"F100 18APR23 0.1",3.548886425,5.319950027,1.771063602,0.113809349,"F100 18APR23 0.1",4.3,13.9,5
"F50 18APR23 1.6","FCR",50,"4/18/2023",1.6,25.1,247,"F50 18APR23 1.6",3.517629348,6.262285843,2.744656496,0.202714424,"F50 18APR23 1.6",8.1,3.8,1.4
"F50 18APR23 3.8","FCR",50,"4/18/2023",3.8,24.6,225,"F50 18APR23 3.8 RERUN",3.60805891,6.281033268,2.672974358,0.200162302,"F50 18APR23 3.8",7.5,5.6,2.4
"F50 18APR23 5","FCR",50,"4/18/2023",5,34.2,234,"F50 18APR23 5.0",3.584403142,6.232271196,2.647868054,0.180795562,"F50 18APR23 5.0",6,4.4,1.8
"F50 18APR23 6.2","FCR",50,"4/18/2023",6.2,25.6,243,"F50 18APR23 6.2",3.696111787,6.169359764,2.473247977,0.166905436,"F50 18APR23 6.2",10,4.4,2.3
"F50 18APR23 8","FCR",50,"4/18/2023",8,29.5,272,"F50 18APR23 8.0",3.792732186,6.315145516,2.522413329,0.180115859,"F50 18APR23 8.0",9.7,4.9,3
"F50 18APR23 9","FCR",50,"4/18/2023",9,26.5,235,"F50 18APR23 9.0",3.557493446,5.880308292,2.322814846,0.196760959,"F50 18APR23 9.0",9.6,6,2.4
"B50 24APR23 0.1","BVR",50,"4/24/2023",0.1,16.8,281,"B50 24APR23 0.1",2.651562483,5.881736297,3.230173814,0.199420782,"B50 24APR23 0.1",5.7,3.2,2.1
"B50 24APR23 3","BVR",50,"4/24/2023",3,19.5,217,"B50 24APR23 3.0",2.386485561,5.702394543,3.315908982,0.227498478,"B50 24APR23 3.0",8.4,4,3
"B50 24APR23 6","BVR",50,"4/24/2023",6,20.1,263,"B50 24APR23 6.0",2.41864864,5.468444967,3.049796327,0.209593983,"B50 24APR23 6.0",6.9,4.7,2.5
"B50 24APR23 9","BVR",50,"4/24/2023",9,20.8,401,"B50 24APR23 9.0",2.6460552,5.271852609,2.625797408,0.306260613,"B50 24APR23 9.0",81.9,4.5,40
"B50 1MAY23 0.1","BVR",50,"5/1/2023",0.1,24.3,272,"B50 01MAY23 0.1",2.501094843,5.362910827,2.861815984,0.216738141,"B50 01MAY23 0.1",3.5,3.1,1
"B50 1MAY23 3","BVR",50,"5/1/2023",3,22,257,"B50 01MAY23 3.0",2.508795862,5.683715934,3.174920072,0.227410278,"B50 01MAY23 3.0",7.9,2.1,5.1
"B50 1MAY23 6","BVR",50,"5/1/2023",6,26.7,307,"B50 01MAY23 6.0",2.453456461,5.337698774,2.884242313,0.224594319,"B50 01MAY23 6.0",16,4.2,3.7
"B50 1MAY23 9","BVR",50,"5/1/2023",9,23.6,284,"B50 01MAY23 9.0",2.820007629,5.541291542,2.721283913,0.255016715,"B50 01MAY23 9.0",36.6,3.6,17.4
"F100 1MAY23 0.1","FCR",100,"5/1/2023",0.1,36.2,156,"F100 01MAY23 0.1",3.030653148,4.82029724,1.789644092,0.134800825,"F100 01MAY23 0.1",8.1,11.4,12.7
"F50 1MAY23 0.1","FCR",50,"5/1/2023",0.1,33.1,296,"F50 01MAY23 0.1",3.824762814,8.972235139,5.147472325,0.258859485,"F50 01MAY23 0.1",12.2,11.3,5.8
"F50 1MAY23 1.6","FCR",50,"5/1/2023",1.6,31,250,"F50 01MAY23 1.6",3.657153692,6.503706863,2.846553171,0.187455914,"F50 01MAY23 1.6",5.9,4.5,1.5
"F50 1MAY23 3.8","FCR",50,"5/1/2023",3.8,31,247,"F50 01MAY23 3.8",3.465081218,6.580756125,3.115674906,0.225293491,"F50 01MAY23 3.8",8,4.7,4.7
"F50 1MAY23 5","FCR",50,"5/1/2023",5,33.2,280,"F50 01MAY23 5.0",3.596904543,6.090909607,2.494005064,0.206595201,"F50 01MAY23 5.0",17.9,4.3,3.9
"F50 1MAY23 6.2","FCR",50,"5/1/2023",6.2,27.4,299,"F50 01MAY23 6.2",3.759366557,6.256192212,2.496825655,0.207970064,"F50 01MAY23 6.2",55.6,3.4,6.7
"F50 1MAY23 8","FCR",50,"5/1/2023",8,27.8,288,"F50 01MAY23 8.0",3.654047953,6.105723446,2.451675493,0.224726224,"F50 01MAY23 8.0",64.3,2.9,7.2
"F50 1MAY23 9","FCR",50,"5/1/2023",9,27.6,288,"F50 01MAY23 9.0",3.894073275,6.014327311,2.120254036,0.222250609,"F50 01MAY23 9.0",69.8,4,7.6
"C50 4MAY23 0.1","CCR",50,"5/4/2023",0.1,12.7,162,"C50 4MAY23 0.1",7.400742512,10.71684318,3.316100666,0.229842484,"C50 4may23 0.1",15.4,1.9,3.8
"C50 4MAY23 1.5","CCR",50,"5/4/2023",1.5,14.6,185,"C50 4MAY23 1.5",7.513046807,10.78773918,3.274692369,0.199812756,"C50 4may23 1.5",12.6,1.4,3.3
"C50 4MAY23 6","CCR",50,"5/4/2023",6,14.1,194,"C50 4may23 6",7.443421065,10.37737796,2.933956899,0.2,"C50 4may23 6",7.3,2.6,3.1
"C50 4MAY23 9","CCR",50,"5/4/2023",9,15,175,"C50 4may23 9",7.138251083,10.03463781,2.896386722,0.192482723,"C50 4may23 9",8.1,1.6,2.6
"C50 4MAY23 20","CCR",50,"5/4/2023",20,13,173,"C50 4may23 20",6.757799536,9.578917014,2.821117478,0.218123407,"C50 4MAY23 20",28.1,5,12.7
"C201 4MAY23 CCS","CCR",201,"5/4/2023",0.1,9.47,99.5,"C201 4may23 CCS",4.258513123,6.000084294,1.74157117,0.141227969,"C201 4may23 CCS",6.9,2.6,25.3
"C500 4MAY23 CCT","CCR",500,"5/4/2023",0.1,10.1,144,"C500 4may23 CCT",9.596396971,11.59662904,2.000232069,0.128970219,"C500 4may23 CCT",6.3,1.4,10.3
"C301 4MAY23 SMB","CCR",301,"5/4/2023",0.1,8.19,76.3,"C301 4MAY23 SMB",2.083785543,2.461943383,0.37815784,0.08862538,"C301 4may23 SMB",4.3,0.3,15.1
"C400 4MAY23 TCT INTUNNEL","CCR",400,"5/4/2023",0.1,26.9,107,"C400 4may23 in tunnel",15.81354282,16.91779675,1.104253931,0.1399475,"C400 4MAY23 INTUNNEL TCT",31.1,4.1,53.1
"B50 8MAY23 0.1","BVR",50,"5/8/2023",0.1,16.4,248,NA,NA,NA,NA,NA,"B50 08MAY23 0.1",4.9,3.3,2.7
"B50 8MAY23 3","BVR",50,"5/8/2023",3,15.9,213,"B50 08MAY23 3.0",2.539978672,5.630565622,3.09058695,0.210936141,"B50 08MAY23 3.0",8.2,3.3,2.1
"B50 8MAY23 6","BVR",50,"5/8/2023",6,21.5,266,"B50 08MAY23 6.0",2.689947314,5.48795956,2.798012247,0.191700258,"B50 08MAY23 6.0",10.5,3.3,3
"B50 8MAY23 9","BVR",50,"5/8/2023",9,25.6,470,"B50 08MAY23 9.0",3.359896514,5.609864742,2.249968227,0.333635779,"B50 08MAY23 9.0",205,3.4,3.2
"F50 8MAY23 0.1","FCR",50,"5/8/2023",0.1,26.4,280,"F50 08MAY23 0.1",3.585295812,6.626507952,3.041212139,0.208798821,"F50 08MAY23 0.1",15,5.7,3.2
"F100 8MAY23 0.1","FCR",100,"5/8/2023",0.1,34,130,"F100 08MAY23 0.1",3.8,5.43,1.64,0.13,"F100 08MAY23 0.1",6.3,11.5,13.4
"F50 8MAY23 1.6","FCR",50,"5/8/2023",1.6,25.4,260,"F50 08MAY23 1.6",3.550481663,6.419039134,2.86855747,0.213684125,"F50 08MAY23 1.6",14.4,5.2,3.6
"F50 8MAY23 3.8","FCR",50,"5/8/2023",3.8,21.6,183,"F50 08MAY23 3.8",3.525933225,6.447100326,2.921167101,0.187338379,"F50 08MAY23 3.8",11.4,4.6,3.2
"F50 8MAY23 5","FCR",50,"5/8/2023",5,27.1,271,"F50 08MAY23 5.0",3.244295686,5.839874518,2.595578832,0.199638876,"F50 08MAY23 5.0",51,5.4,6.2
"F50 8MAY23 6.2","FCR",50,"5/8/2023",6.2,25.3,300,"F50 08MAY23 6.2",3.680256748,6.036274676,2.356017928,0.259955886,"F50 08MAY23 6.2",89.8,4.3,10.3
"F50 8MAY23 8","FCR",50,"5/8/2023",8,24.4,311,"F50 08MAY23 8.0",3.787618013,5.985375467,2.197757454,0.316050755,"F50 08MAY23 8.0",121,4.6,12.8
"F50 8MAY23 9","FCR",50,"5/8/2023",9,23.5,297,"F50 08MAY23 9.0",3.61743195,5.71428918,2.09685723,0.24648545,"F50 08MAY23 9.0",118,2.9,13.1
"F100 8MAY23 ISCO","FCR",100.1,"5/8/2023",0.1,115,722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50 16MAY23 0.1","FCR",50,"5/16/2023",0.1,26.6,360,"F50 16MAY23 0.1",3.7,6.7,3,0.19,"f50 15may23 0.1",9.7,3.9,2.6
"F100 16MAY23 0.1","FCR",100,"5/16/2023",0.1,50.3,259,"F100 16may23 0.1m",4.434119643,5.988998177,1.554878534,0.11,"f100 16may23 0.1",6,15.5,8.2
"F50 16MAY23 1.6","FCR",50,"5/16/2023",1.6,29.4,355,"F50 16MAY23 1.6",4,7.2,3.2,0.24,"f50 16may23 1.6",11.7,4.1,3.3
"F50 16MAY23 3.8","FCR",50,"5/16/2023",3.8,28.7,281,"F50 16may23 3.8m",4.156945615,7.144393638,2.987448022,0.25,"f50 16may23 3.8",8.5,6.7,2.4
"F50 16MAY23 5","FCR",50,"5/16/2023",5,23.4,260,"F50 15MAY23 5",3.6,6.3,2.7,0.21,"f50 16may23 5",36.5,3.7,7.2
"F50 16MAY23 6.2","FCR",50,"5/16/2023",6.2,20.7,305,"F50 16May23 6.2m",4.3,7.1,2.8,0.3,"f50 16may23 6.2",81.2,3.8,17.8
"F50 16MAY23 8","FCR",50,"5/16/2023",8,21.8,311,"F50 16MAY23 8.0",4.002604507,6.262101053,2.259496546,0.264322974,"F50 16MAY23 8.0",108,2.4,17.1
"F50 16MAY23 9","FCR",50,"5/16/2023",9,23.9,316,"F50 16MAY23 9",4.3,7.2,2.9,0.34,"f50 16may23 9",107,2,23
"B50 22MAY23 0.1","BVR",50,"5/22/2023",0.1,17.4,182,"B50 22MAY23 0.1",2.6,5.8,3.1,0.22,"b50 22may23 0.1",4.5,3,0.1
"B50 22MAY23 3","BVR",50,"5/22/2023",3,13,240,"B50 22MAY23 3",2.7,5.9,3.2,0.24,"b50 22may23 3",12.8,3.6,3.4
"B50 22MAY23 6","BVR",50,"5/22/2023",6,18.7,272,"B50 22may23 6",3.173376627,5.82325869,2.649882063,0.23,"b50 22may23 6.0",10.5,5,-1.3
"B50 22MAY23 9","BVR",50,"5/22/2023",9,25.9,715,"B50 22MAY23 9",3.7,6.4,2.7,0.52,"b50 22may23 9",439,6.5,2.4
"F50 22MAY23 0.1","FCR",50,"5/22/2023",0.1,27.4,344,"F50 22MAY23 0.1",3.8,7.9,4.1,0.3,"f50 22may23 0.1",14.7,4.8,4.4
"F100 22MAY23 0.1","FCR",100,"5/22/2023",0.1,42.4,193,"F100 22MAY23 0.1",4.2,5.6,1.4,0.15,"f100 22may23 0.1",10,13.5,29.5
"F50 22MAY23 1.6","FCR",50,"5/22/2023",1.6,28.8,386,"F50 22MAY23 1.6",3.73,7.75,4.02,0.33,"F50 22MAY23 1.6",15.4,7.1,2
"F50 22MAY23 3.8","FCR",50,"5/22/2023",3.8,22.3,211,"F50 22MAY23 3.8",3.8,6.9,3.1,0.27,"f50 22may23 3.8",13.4,3.5,5.9
"F50 22MAY23 5","FCR",50,"5/22/2023",5,19.2,267,"F50 22MAY23 5",4.3,7.3,3,0.32,"f50 22may23 5",53.1,3.3,15.6
"F50 22MAY23 6.2","FCR",50,"5/22/2023",6.2,21.6,286,"F50 22MAY23 6.2",3.9,6.3,2.3,0.3,"f50 22may23 6.2",91.6,1.5,25.4
"F50 22MAY23 8","FCR",50,"5/22/2023",8,23.7,300,"F50 22MAY23 8.0",4,6.8,2.8,0.35,"f50 22may23 8",100,2.2,23
"F50 22MAY23 9","FCR",50,"5/22/2023",9,23.6,319,"F50 22MAY23 9.0",4,6.5,2.5,0.23,"f50 22may23 9",54.6,3,12.5
"B50 29may23 0.1","BVR",50,"5/29/2023",0.1,16.5,250,"B50 29MAY23 0.1",3.627437592,7.400136223,3.772698631,0.300170202,"b50 29may23 0.1",10.4,5.6,3.1
"B50 29may23 3","BVR",50,"5/29/2023",3,14,211,"B50 29MAY23 3",2.825207073,6.227308209,3.402101137,0.255409858,"b50 29may23 3.0",11.9,4.3,3.2
"B50 29may23 6","BVR",50,"5/29/2023",6,15.2,209,"B50 29MAY23 6",2.823225033,5.935008165,3.111783132,0.227266425,"b50 29may23 6.0",10.8,3.1,2.8
"B50 29may23 9","BVR",50,"5/29/2023",9,29.8,836,"B50 29MAY23 9",4.4170777,7.247370944,2.830293244,0.78443601,"b50 29may23 9.0",581,7.8,0.2
"F50 29may23 0.1","FCR",50,"5/29/2023",0.1,29.3,487,"F50 29may23 0.1",4.035430325,8.535888875,4.500458549,0.406852864,"f50 29may23 0.1",42.4,15.6,4.6
"F100 29MAY23 0.1","FCR",100,"5/29/2023",0.1,71.6,416,"F100 29MAY23 0.1",3.781541169,8.378615802,4.597074633,0.177883771,"f100 29may23 0.1",6.8,15.8,0.1
"F50 29may23 1.6","FCR",50,"5/29/2023",1.6,31.9,553,"F50 29MAY23 1.6",4.480210121,8.172347332,3.692137211,0.32281367,"f50 29may23 1.6",20.1,13.3,4.1
"F50 29may23 3.8","FCR",50,"5/29/2023",3.8,18.4,205,"F50 29May23 3.8m",4.1,7.1,3,0.22,"f50 29may23 3.8",17.1,2.3,5.1
"F50 29may23 5","FCR",50,"5/29/2023",5,24,388,"F50 29MAY23 5",4.275564534,7.899741262,3.624176728,0.353765595,"f50 29may23 5.0",41.3,8.7,8.8
"F50 29may23 6.2","FCR",50,"5/29/2023",6.2,22.5,294,"F50 29MAY23 6.2",4.520841932,6.907786858,2.386944926,0.29507981,"f50 29may23 6.2",85.1,3.9,23.6
"F50 29may23 8","FCR",50,"5/29/2023",8,18.1,206,"F50 29MAY23 8",4.414307305,6.859588446,2.445281142,0.327494491,"f50 29may23 8.0",99.3,5.5,23.7
"F50 29may23 9","FCR",50,"5/29/2023",9,20.8,280,"F50 29may23 9m",4.433122614,7.030182132,2.597059518,0.41,"f50 29may23 9.0",111,6.1,25.2
"F100 29may23 ISCO A","FCR",100.1,"5/29/2023",0.1,1620,6360,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F100 29may23 ISCOB","FCR",100.1,"5/29/2023",0.1,1650,8450,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C100 1JUN23 0.1","CCR",101,"6/1/2023",0.1,8.73,112,"C100 1jun23 0.1",2.31954691,5.351144896,3.031597986,0.203946731,"C100 1JUN23 0.1",6.9,3.5,50.5
"C300 1JUN23 0.1","CCR",300,"6/1/2023",0.1,5.93,73.8,"C300 1jun23 0.1",1.895850735,3.819733813,1.923883078,0.135221941,"C300 1JUN23 0.1",9.1,1.8,13.2
"C50 1JUN23 0.1","CCR",50,"6/1/2023",0.1,11.3,203,"C50 1jun23 0.1",7.514269528,10.36500266,2.850733135,0.18,"C50 1jun23 0.1",4.8,1.3,2.3
"C50 1JUN23 1.5","CCR",50,"6/1/2023",1.5,11.4,160,"C50 1jun23 1.5",7.423104227,10.43719193,3.014087698,0.19,"C50 1jun23 1.5",7.5,-0.1,2.1
"C50 1JUN23 6","CCR",50,"6/1/2023",6,12,143,"C50 1jun23 6",7.595015937,10.51660011,2.921584177,0.2,"C50 1jun23 6",8.2,2.3,2
"C50 1JUN23 9","CCR",50,"6/1/2023",9,12.2,159,"C50 1jun23 9",8.443113703,10.82288884,2.37977514,0.18,"C50 1jun23 9",8.5,1.5,7.2
"C50 1JUN23 20","CCR",50,"6/1/2023",20,11.5,164,"C50 1jun23 20",8.430090089,11.12608375,2.695993657,0.22,"C50 1jun23 20",25.5,3.5,14.5
