Reservoir,Site,Date,Beaver level,Obs_waterlevel_from_full_pond_ft,WaterLevel_m,Source,Comments,
BVR,50,9/1/2009,Full,0,,WVWA,,
BVR,50,10/8/2009,Full,0,,WVWA,,
BVR,50,11/23/2009,Full,0,,WVWA,,
BVR,50,12/29/2009,Full,0,,WVWA,,
BVR,50,1/28/2010,Full,0,,WVWA,Lot of sediment in Right Weir,
BVR,50,2/27/2010,Full,0,,WVWA,some sediment in Right weir,
BVR,50,3/17/2010,Full,0,,WVWA,Mod. sediment in Right Weir,
BVR,50,4/22/2010,Full,0,,WVWA,some sediment in Right weir,
BVR,50,5/14/2010,Full,0,,WVWA,some sediment in Right weir,
BVR,50,6/12/2010,Full,0,,WVWA,some sediment in Right weir,
BVR,50,7/20/2010,1.2 low,-1.2,,WVWA,some sediment in Right weir,
BVR,50,8/10/2010,2.4 low,-2.4,,WVWA,Mod. sediment in Right Weir,
BVR,50,9/28/2010,8.2 Low,,,WVWA,Mod. sediment in Right Weir,
BVR,50,10/29/2010,9.2 Low,,,WVWA,Mod. sediment in Right Weir,
BVR,50,11/22/2010,10.0 Low,,,WVWA,Mod. sediment in Right Weir,
BVR,50,12/16/2010,9.8 Low,,,WVWA,Mod. sediment in Right Weir,
BVR,50,1/22/2011,9.0 Low,,,WVWA,Lot of sediment in Right Weir,
BVR,50,2/16/2011,7.8 Low,,,WVWA,Lot of sediment in Right Weir,
BVR,50,3/25/2011,4.8 Low,,,WVWA,Lot of sediment in Right Weir,
BVR,50,4/22/2011,.8 Low,,,WVWA,Lot of sediment in Right Weir,
BVR,50,5/20/2011,Full,,,WVWA,Lot of sediment in Right Weir,
BVR,50,5/26/2011,Full,,,WVWA,some sediment in Right weir,
BVR,50,6/7/2011,Full,,,WVWA,some sediment in Right weir,
BVR,50,6/16/2011,.2 Low,,,WVWA,some sediment in Right weir,
BVR,50,6/24/2011,.4 Low,,,WVWA,some sediment in Right weir,
BVR,50,7/1/2011,.8 Low,,,WVWA,some sediment in Right weir,
BVR,50,7/14/2011,.6 Low,,,WVWA,some sediment in Right weir,
BVR,50,7/25/2011,0.9 Low,,,WVWA,some sediment in Right weir,
BVR,50,8/1/2011,1.2 Low,,,WVWA,some sediment in Right weir,
BVR,50,8/10/2011,2.0 Low,,,WVWA,some sediment in Right weir,
BVR,50,8/23/2011,2.6 Low,,,WVWA,some sediment in Right weir,
BVR,50,8/31/2011,3.0 Low,,,WVWA,some sediment in Right weir,
BVR,50,9/8/2011,2.0 Low,,,WVWA,some sediment in Right weir,
BVR,50,9/26/2011,2.8 Low,,,WVWA,some sediment in Right weir,
BVR,50,10/4/2011,4.2 Low,,,WVWA,"Cloudy, open 4 turns",
BVR,50,10/13/2011,4.4 Low,,,WVWA,"rain 3 days, open 4 turns",
BVR,50,10/20/2011,5.2 Low,,,WVWA,open 4 turns,
BVR,50,10/27/2011,6.2 Low,,,WVWA,Closed,
BVR,50,11/28/2011,4.8 Low,,,WVWA,Closed,
BVR,50,12/8/2011,4.2 Low,,,WVWA,Closed,
BVR,50,12/15/2011,2.7 Low,,,WVWA,Closed,
BVR,50,12/29/2011,1.9 Low,,,WVWA,Closed,
BVR,50,1/12/2012,1.4 Low,,,WVWA,Closed,
BVR,50,1/30/2012,.7 Low,,,WVWA,Closed,
BVR,50,2/8/2012,0.2,,,WVWA,Closed,
BVR,50,2/17/2012,0.2,,,WVWA,Closed,
BVR,50,2/24/2012,Full +.2,,,WVWA,Closed,
BVR,50,3/2/2012,Full +.3,,,WVWA,Closed,
BVR,50,3/9/2012,Full +.2,,,WVWA,Closed,
BVR,50,3/16/2012,Full +.3,,,WVWA,Closed,
BVR,50,3/23/2012,Full +.2,,,WVWA,Closed,
BVR,50,3/30/2012,Full +.3,,,WVWA,Closed,
BVR,50,4/17/2012,Full +.3,,,WVWA,Closed,
BVR,50,5/4/2012,Full +.2,,,WVWA,Closed,
BVR,50,5/11/2012,Full +.2,,,WVWA,Opened 3 turns,
BVR,50,5/19/2012,Full +.2,,,WVWA,Opened 3 turns,
BVR,50,5/24/2012,Full +.2,,,WVWA,Opened 3 turns,
BVR,50,6/1/2012,.1 Low,,,WVWA,Opened 3 turns,
BVR,50,6/8/2012,0.3 Low,,,WVWA,Opened 3 turns,
BVR,50,6/19/2012,.4 Low,,,WVWA,Opened 3 turns,
BVR,50,6/28/2012,.8 Low,,,WVWA,Opened 3 turns,
BVR,50,7/12/2012,1.3 Low,,,WVWA,Opened 3 turns,
BVR,50,7/24/2012,1.5 Low,,,WVWA,Opened 3 turns,
BVR,50,8/1/2012,1.8 Low,,,WVWA,Opened 3 turns,
BVR,50,8/14/2012,2.5 Low,,,WVWA,Opened 3 turns,
BVR,50,8/28/2012,2.8 Low,,,WVWA,Opened 3 turns,
BVR,50,9/10/2012,3.8 Low,,,WVWA,Opened 3 turns,
BVR,50,9/20/2012,4.0 Low,,,WVWA,Opened 3 turns,
BVR,50,9/27/2012,4.4 Low,,,WVWA,Opened 3 turns,
BVR,50,10/4/2012,4.9 Low,,,WVWA,Opened 3 turns,
BVR,50,10/12/2012,4.9 Low,,,WVWA,Closed,
BVR,50,10/26/2012,4.8 Low,,,WVWA,Closed,
BVR,50,11/2/2012,4.7 Low,,,WVWA,Closed,
BVR,50,11/9/2012,4.6 Low,,,WVWA,Closed,
BVR,50,11/15/2012,4.6 Low,,,WVWA,Closed,
BVR,50,11/30/2012,4.6 Low,,,WVWA,Closed,
BVR,50,12/20/2012,4.3 Low,,,WVWA,Closed,
BVR,50,1/17/2013,2.8 Low,,,WVWA,Closed,
BVR,50,1/31/2013,1.6 Low,,,WVWA,Closed,
BVR,50,2/12/2013,.9 Low,,,WVWA,Closed,
BVR,50,3/11/2013,Full,,,WVWA,Closed,
BVR,50,4/22/2013,Full  +.2,,,WVWA,Closed,
BVR,50,5/10/2013,Full +.4,,,WVWA,Closed,
BVR,50,5/31/2013,Full +.2,,,WVWA,Closed,
BVR,50,6/14/2013,Full +.4,,,WVWA,Closed,
BVR,50,6/27/2013,Full +.4,,,WVWA,Closed,
BVR,50,7/18/2013,Full +.2,,,WVWA,Closed,
BVR,50,8/16/2013,Full +.4,,,WVWA,Closed,
BVR,50,8/22/2013,Full +.2,,,WVWA,Closed,
BVR,50,8/30/2013,Full +.3,,,WVWA,Closed,
BVR,50,9/10/2013,Full +.1,,,WVWA,Opened 3 turns,
BVR,50,9/20/2013,Full,,,WVWA,Open 3 turns,
BVR,50,10/3/2013,Full,,,WVWA,Open 3 turns,
BVR,50,10/10/2013,.1 Low,,,WVWA,Open 3 turns,
BVR,50,10/24/2013,.1 Low,,,WVWA,Open 3 turns,
BVR,50,11/1/2013,.2 Low,,,WVWA,Open 3 turns,
BVR,50,11/7/2013,.2 Low,,,WVWA,Open 3 turns,
BVR,50,11/14/2013,.3 Low,,,WVWA,Open 3 turns,
BVR,50,12/5/2013,.2 Low,,,WVWA,Open 3 turns,
BVR,50,12/19/2013,Full,,,WVWA,Open 3 turns,
BVR,50,1/2/2014,Full +.1,,,WVWA,Open 3 turns,
BVR,50,1/9/2014,Full +.3,,,WVWA,Open 3 turns,
BVR,50,1/17/2014,Full +.2,,,WVWA,Open 3 turns,
BVR,50,2/12/2014,Full +.3,,,WVWA,Open 3 turns,
BVR,50,2/25/2014,Full +.3,,,WVWA,Open 3 turns,
BVR,50,3/10/2014,Full +.3,,,WVWA,Open 3 turns,
BVR,50,3/20/2014,Full +.3,,,WVWA,Open 3 turns,
BVR,50,3/28/2014,Full +.3,,,WVWA,Open 3 turns,
BVR,50,4/11/2014,Full +.3,,,WVWA,Open 3 turns,
BVR,50,4/22/2014,Full +.2,,,WVWA,Open 3 turns,
BVR,50,4/28/2014,Full +.3,,,WVWA,Opened 6 more turns,
BVR,50,4/30/2014,Full +.2,,,WVWA,Opened 9 Turns total,
BVR,50,5/1/2014,Full +.2,,,WVWA,Opened 9 Turns total,
BVR,50,5/5/2014,Full,,,WVWA,Opened 9 Turns total,
BVR,50,5/6/2014,.1 Low,,,WVWA,Opened 9 Turns total,
BVR,50,5/8/2014,.15 Low,,,WVWA,Opened 9 Turns total,
BVR,50,5/12/2014,.25 Low,,,WVWA,Opened 9 Turns total,
BVR,50,5/14/2014,0.3 Low,,,WVWA,Opened 9 Turns total,
BVR,50,5/16/2014,.2 Low,,,WVWA,Opened 9 Turns total,
BVR,50,5/19/2014,.25 Low,,,WVWA,Opened 9 Turns total,
BVR,50,5/22/2014,.30 Low,,,WVWA,Opened 9 Turns total,
BVR,50,5/27/2014,.45 Low,,,WVWA,Opened 14 Turns Total,
BVR,50,5/30/2014,1.0 Low,,,WVWA,Opened 14 Turns Total,
BVR,50,6/2/2014,1.2 Low,,,WVWA,Opened 14 Turns Total,
BVR,50,6/5/2014,1.4 Low,,,WVWA,Opened 14 Turns Total,
BVR,50,6/9/2014,1.7 Low,,,WVWA,Opened 14 Turns Total,
BVR,50,6/11/2014,1.6 Low,,,WVWA,Opened 14 Turns Total,
BVR,50,6/13/2014,1.4 Low,,,WVWA,Opened 14 Turns Total,
BVR,50,6/18/2014,1.8 Low,,,WVWA,Opened 14 Turns Total,
BVR,50,6/24/2014,2.3 Low,,,WVWA,Opened 17 Turns Total,
BVR,50,6/27/2014,2.6 Low,,,WVWA,Opened 17 Turns Total,
BVR,50,7/8/2014,3.3 Low,,,WVWA,Opened 17 Turns Total,
BVR,50,7/14/2014,3.5 Low,,,WVWA,Opened 17 Turns Total,
BVR,50,7/17/2014,4.0 Low,,,WVWA,Opened 17 Turns Total,
BVR,50,7/22/2014,4.4 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,7/29/2014,4.5 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/6/2014,5.4 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/11/2014,5.3 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/15/2014,5.4 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/21/2014,5.5 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/28/2014,5.5 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,9/5/2014,5.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,9/15/2014,5.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,9/25/2014,5.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,10/1/2014,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,10/9/2014,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,10/16/2014,5.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,11/5/2014,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,11/12/2014,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,11/21/2014,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,12/5/2014,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,12/18/2014,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,1/8/2015,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,1/22/2015,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,2/12/2015,6.3 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,3/9/2015,5.6 Low,,,WVWA,Opened 8 Turns valve #2/Rain and snow,
BVR,50,3/18/2015,5.9 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,3/27/2015,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,4/3/2015,6.1 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,4/20/2015,5.3 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,5/1/2015,5.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,5/15/2015,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,5/26/2015,5.62 Low,,,WVWA,From website,
BVR,50,5/27/2015,5.64 Low,,,WVWA,From website,
BVR,50,6/11/2015,6.1 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,6/18/2015,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,6/23/2015,6.1 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,7/3/2015,5.72 low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,7/7/2015,5.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,7/21/2015,5.67 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,7/29/2015,5.9 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/11/2015,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/20/2015,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/27/2015,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,9/3/2015,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,9/11/2015,6.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,9/22/2015,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,9/28/2015,5.8 Low,,,WVWA,Rec'd 3.46 inches of rain over weekend,
BVR,50,10/2/2015,4.8 Low,,,WVWA,Rec'd 2.32 inches of rain this week,
BVR,50,10/5/2015,4.5 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,10/9/2015,4.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,10/16/2015,5.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,10/22/2015,5.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,10/29/2015,5.4 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,11/10/2015,5.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,11/17/2015,5.5 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,11/24//2015,5.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,12/3/2015,5.6 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,12/11/2015,5.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,12/16/2015,5.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,12/22/2015,5.6 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,12/30/2015,5.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,1/7/2016,5.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,1/20/2016,5.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,2/4/2016,5.6 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,2/12/2016,5.5 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,2/24/2016,4.4 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,2/25/2016,4.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,3/2/2016,4.9 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,3/8/2016,4.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,3/17/2016,4.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,3/23/2016,4.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,4/1/2016,4.5 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,4/8/2016,4.6 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,4/14/2016,4.8 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,4/28/2016,5.2 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,5/12/2016,4.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,5/26/2016,5.4 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,6/10/2016,5.5 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,6/29/2016,5.7 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,7/13/2016,5.6 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,7/25/2016,6.0 Low,,,WVWA,Opened 8 Turns valve #2,
BVR,50,8/12/2016,5.7 Low,,,WVWA,Opened 8 Turns valve #2,
